region,year,cohort,lower,upper
Richibucto,2014,0,0,22
Richibucto,2014,1,23,38
Richibucto,2014,2,39,49
Richibucto,2014,3,50,59
Richibucto,2014,4,60,69
Richibucto,2014,5,70,80
Richibucto,2014,6+,81,200
Richibucto,2015,0,0,22
Richibucto,2015,1,23,37
Richibucto,2015,2,38,49
Richibucto,2015,3,50,59
Richibucto,2015,4,60,69
Richibucto,2015,5,70,80
Richibucto,2015,6+,81,200
Richibucto,2016,0,0,24
Richibucto,2016,1,25,39
Richibucto,2016,2,40,49
Richibucto,2016,3,50,59
Richibucto,2016,4,60,69
Richibucto,2016,5,70,80
Richibucto,2016,6+,81,200
Richibucto,2017,0,0,19
Richibucto,2017,1,20,34
Richibucto,2017,2,35,49
Richibucto,2017,3,50,59
Richibucto,2017,4,60,69
Richibucto,2017,5,70,80
Richibucto,2017,6+,81,200
Richibucto,2018,0,0,21
Richibucto,2018,1,22,37
Richibucto,2018,2,38,49
Richibucto,2018,3,50,59
Richibucto,2018,4,60,69
Richibucto,2018,5,70,80
Richibucto,2018,6+,81,200
Richibucto,2019,0,0,21
Richibucto,2019,1,22,37
Richibucto,2019,2,38,49
Richibucto,2019,3,50,59
Richibucto,2019,4,60,69
Richibucto,2019,5,70,80
Richibucto,2019,6+,81,200
Richibucto,2020,0,0,21
Richibucto,2020,1,22,37
Richibucto,2020,2,38,49
Richibucto,2020,3,50,59
Richibucto,2020,4,60,69
Richibucto,2020,5,70,80
Richibucto,2020,6+,81,200
Richibucto,2021,0,0,21
Richibucto,2021,1,22,37
Richibucto,2021,2,38,49
Richibucto,2021,3,50,59
Richibucto,2021,4,60,69
Richibucto,2021,5,70,80
Richibucto,2021,6+,81,200
Fox Harbor,2014,0,0,26
Fox Harbor,2014,1,27,38
Fox Harbor,2014,2,39,49
Fox Harbor,2014,3,50,59
Fox Harbor,2014,4,60,69
Fox Harbor,2014,5,70,80
Fox Harbor,2014,6+,81,200
Fox Harbor,2017,0,0,19
Fox Harbor,2017,1,20,34
Fox Harbor,2017,2,35,49
Fox Harbor,2017,3,50,59
Fox Harbor,2017,4,60,69
Fox Harbor,2017,5,70,80
Fox Harbor,2017,6+,81,200
Fox Harbor,2018,0,0,19
Fox Harbor,2018,1,20,34
Fox Harbor,2018,2,35,49
Fox Harbor,2018,3,50,59
Fox Harbor,2018,4,60,69
Fox Harbor,2018,5,70,80
Fox Harbor,2018,6+,81,200
Fox Harbor,2019,0,0,19
Fox Harbor,2019,1,20,34
Fox Harbor,2019,2,35,49
Fox Harbor,2019,3,50,59
Fox Harbor,2019,4,60,69
Fox Harbor,2019,5,70,80
Fox Harbor,2019,6+,81,200
Fox Harbor,2020,0,0,19
Fox Harbor,2020,1,20,34
Fox Harbor,2020,2,35,49
Fox Harbor,2020,3,50,59
Fox Harbor,2020,4,60,69
Fox Harbor,2020,5,70,80
Fox Harbor,2020,6+,81,200
Fox Harbor,2021,0,0,19
Fox Harbor,2021,1,20,34
Fox Harbor,2021,2,35,49
Fox Harbor,2021,3,50,59
Fox Harbor,2021,4,60,69
Fox Harbor,2021,5,70,80
Fox Harbor,2021,6+,81,200
Cocagne,2014,0,0,26
Cocagne,2014,1,27,38
Cocagne,2014,2,39,49
Cocagne,2014,3,50,59
Cocagne,2014,4,60,69
Cocagne,2014,5,70,80
Cocagne,2014,6+,81,200
Cocagne,2017,0,0,19
Cocagne,2017,1,20,34
Cocagne,2017,2,35,49
Cocagne,2017,3,50,59
Cocagne,2017,4,60,69
Cocagne,2017,5,70,80
Cocagne,2017,6+,81,200
Cocagne,2018,0,0,20
Cocagne,2018,1,21,33
Cocagne,2018,2,34,49
Cocagne,2018,3,50,59
Cocagne,2018,4,60,69
Cocagne,2018,5,70,80
Cocagne,2018,6+,81,200
Cocagne,2019,0,0,20
Cocagne,2019,1,21,33
Cocagne,2019,2,34,49
Cocagne,2019,3,50,59
Cocagne,2019,4,60,69
Cocagne,2019,5,70,80
Cocagne,2019,6+,81,200
Cocagne,2020,0,0,20
Cocagne,2020,1,21,33
Cocagne,2020,2,34,49
Cocagne,2020,3,50,59
Cocagne,2020,4,60,69
Cocagne,2020,5,70,80
Cocagne,2020,6+,81,200
Cocagne,2021,0,0,20
Cocagne,2021,1,21,33
Cocagne,2021,2,34,49
Cocagne,2021,3,50,59
Cocagne,2021,4,60,69
Cocagne,2021,5,70,80
Cocagne,2021,6+,81,200
